STANDARDDEV,AD HOC,1,010000000000000,000000000000000,Time Entry Review,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,NULL,2019-04-23 06:00:14.000,AHASAN,A,NULL,BUILDING,NA,NA,NA,NA,NA,Ali,NULL,Hasan,NULL,NULL,N,NULL,NULL,Y,0.00,NULL
STANDARDDEV,ADHOC_WORKFLOW,1,010000000000000,000012000000000,AdHoc Task,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-04-23 07:04:23.000,Abdullah Al-Otaibi,A,NULL,BUILDING,SUPER,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,ADHOC_WORKFLOW,2,012000000000000,000000000000000,Time Entry Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-04-23 06:16:56.000,Ali Hasan,A,NULL,BUILDING,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_AMEND,1,010000000000000,000000000000000,Modification Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-01-28 14:43:20.000,Chong Li,A,NULL,ADMIN,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COMPL,1,010000000000000,000012000000000,Complaint Intake,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-11-08 13:42:02.000,Chong Li,A,NULL,BUILDING,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COMPL,2,012000000000000,000014000000000,Investigation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-11-08 13:42:02.000,Chong Li,A,NULL,BUILDING,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_COMPL,3,014000000000000,000000000000000,Notification,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-11-07 03:55:20.000,Rami Bader,A,NULL,BUILDING,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_DA,1,010000000000000,000012000000000,Application Intake,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-01-25 08:47:00.000,Chong Li,A,NULL,ADMIN,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_DA,2,012000000000000,014000000000000,Inspection,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-01-25 08:48:15.000,Chong Li,A,NULL,ADMIN,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_DA,3,014000000000000,000000000000000,Report Issuance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-01-25 08:47:00.000,Chong Li,A,NULL,ADMIN,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_DEMO,1,010000000000000,000012000001000,Application Intake,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Pending,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-01-28 13:36:58.000,Chong Li,A,NULL,ADMIN,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_DEMO,2,012000000000000,018000000000000,Plans Distribution,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-01-28 13:36:58.000,Chong Li,A,NULL,ADMIN,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STANDARDDEV,BLDG_DEMO,3,018001000000000,019000000000000,Public Works Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-01-28 13:36:58.000,Chong Li,A,NULL,ADMIN,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
